,alcohol,chlorides,citric acid,density,fixed acidity,free sulfur dioxide,pH,quality,residual sugar,sulphates,total sulfur dioxide,volatile acidity,target
107,9.3,0.088,0.31,0.9969,6.2,15.0,3.46,5.0,1.7,0.79,64.0,0.63,0
108,9.6,0.091,0.53,0.9976,8.0,18.0,3.37,6.0,2.5,0.8,80.0,0.33,0
111,9.8,0.084,0.09,0.9964,8.4,11.0,3.15,5.0,2.2,0.66,108.0,0.62,0
112,9.8,0.085,0.1,0.9964,8.4,14.0,3.15,5.0,2.2,0.66,111.0,0.6,0
115,10.5,0.09,0.31,0.9966,9.4,13.0,3.07,6.0,2.2,0.63,62.0,0.4,0
116,10.0,0.077,0.28,0.9978,8.3,11.0,3.39,6.0,1.9,0.61,40.0,0.54,0
117,9.4,0.082,0.12,0.997,7.8,7.0,3.37,6.0,2.0,0.5,28.0,0.56,0
124,9.5,0.082,0.17,0.996,7.8,21.0,3.39,5.0,1.6,0.48,102.0,0.5,0
129,9.4,0.072,0.15,0.9955,6.1,6.0,3.42,5.0,1.8,0.57,19.0,0.38,0
131,13.0,0.049,0.09,0.9937,5.6,17.0,3.63,5.0,2.3,0.63,99.0,0.5,0
132,13.0,0.049,0.09,0.9937,5.6,17.0,3.63,5.0,2.3,0.63,99.0,0.5,0
137,9.2,0.081,0.36,0.9972,7.2,13.0,3.48,5.0,2.0,0.64,45.0,0.415,0
138,9.5,0.081,0.19,0.9962,7.8,15.0,3.33,5.0,2.1,0.54,105.0,0.56,0
139,9.5,0.081,0.19,0.9962,7.8,17.0,3.32,5.0,2.0,0.54,108.0,0.56,0
143,9.4,0.066,0.08,0.9954,6.3,3.0,3.34,5.0,1.7,0.58,20.0,0.39,0
148,10.2,0.074,0.1,0.9959,6.9,12.0,3.42,6.0,2.3,0.58,30.0,0.49,0
149,10.5,0.089,0.44,0.9975,8.2,11.0,3.53,6.0,2.8,0.61,43.0,0.4,0
150,10.3,0.077,0.47,0.9958,7.3,5.0,3.33,6.0,2.1,0.53,11.0,0.33,0
154,10.5,0.07,0.42,0.9973,7.1,29.0,3.42,5.0,5.5,0.72,129.0,0.43,0
155,10.5,0.071,0.42,0.9973,7.1,28.0,3.42,5.0,5.5,0.71,128.0,0.43,0
156,10.5,0.07,0.42,0.9973,7.1,29.0,3.42,5.0,5.5,0.72,129.0,0.43,0
157,10.5,0.071,0.42,0.9973,7.1,28.0,3.42,5.0,5.5,0.71,128.0,0.43,0
159,9.3,0.079,0.18,0.9968,6.8,18.0,3.59,6.0,1.9,0.57,86.0,0.6,0
162,10.0,0.076,0.04,0.9964,7.8,17.0,3.33,6.0,1.7,0.56,31.0,0.53,0
163,9.4,0.07,0.26,0.9982,7.4,36.0,3.37,5.0,7.3,0.49,121.0,0.6,0
164,9.4,0.07,0.26,0.9981,7.3,35.0,3.37,5.0,7.2,0.49,121.0,0.59,0
165,9.5,0.1,0.48,0.9961,7.8,14.0,3.19,5.0,1.7,0.62,96.0,0.63,0
166,10.2,0.085,0.1,0.9956,6.8,18.0,3.34,5.0,2.1,0.52,101.0,0.64,0
168,10.4,0.089,0.07,0.9953,6.8,11.0,3.47,6.0,2.1,0.55,44.0,0.63,0
171,9.2,0.073,0.17,0.9972,8.0,6.0,3.29,6.0,2.0,0.61,18.0,0.42,0
172,9.2,0.073,0.17,0.9972,8.0,6.0,3.29,6.0,2.0,0.61,18.0,0.42,0
173,11.5,0.068,0.05,0.9961,7.4,24.0,3.42,6.0,1.9,0.57,42.0,0.62,0
174,9.5,0.08,0.21,0.9961,7.3,7.0,3.33,5.0,2.0,0.47,35.0,0.38,0
175,9.5,0.085,0.04,0.9958,6.9,19.0,3.35,5.0,1.5,0.78,49.0,0.5,0
176,9.5,0.08,0.21,0.9961,7.3,7.0,3.33,5.0,2.0,0.47,35.0,0.38,0
177,10.5,0.087,0.42,0.9972,7.5,8.0,3.58,6.0,2.3,0.61,38.0,0.52,0
179,9.5,0.067,0.14,0.9969,8.8,10.0,3.19,5.0,2.4,0.59,42.0,0.61,0
180,9.5,0.067,0.14,0.9969,8.8,10.0,3.19,5.0,2.4,0.59,42.0,0.61,0
183,9.3,0.077,0.2,0.9971,6.8,11.0,3.54,5.0,1.8,0.58,65.0,0.61,0
184,9.3,0.079,0.21,0.997,6.7,8.0,3.52,6.0,1.9,0.58,62.0,0.62,0
186,9.2,0.082,0.48,0.9972,7.4,14.0,3.34,5.0,2.0,0.55,67.0,0.39,0
188,9.5,0.084,0.33,0.9968,7.9,15.0,3.2,5.0,2.0,0.55,143.0,0.5,0
189,9.5,0.082,0.32,0.9968,7.9,17.0,3.2,5.0,1.9,0.55,144.0,0.49,0
190,9.4,0.077,0.35,0.9976,8.2,21.0,3.23,5.0,2.9,0.62,127.0,0.5,0
191,9.8,0.074,0.25,0.9974,6.4,21.0,3.57,6.0,1.9,0.62,49.0,0.37,0
192,9.5,0.099,0.12,0.9969,6.8,16.0,3.28,5.0,3.8,0.61,126.0,0.63,0
193,9.7,0.071,0.21,0.9964,7.6,7.0,3.28,5.0,2.2,0.55,28.0,0.55,0
194,9.7,0.071,0.21,0.9964,7.6,7.0,3.28,5.0,2.2,0.55,28.0,0.55,0
195,9.4,0.074,0.33,0.9968,7.8,24.0,3.25,5.0,2.0,0.54,120.0,0.59,0
196,10.2,0.074,0.3,0.9968,7.3,15.0,3.46,5.0,2.4,0.59,55.0,0.58,0
200,10.3,0.056,0.47,0.99695,9.6,9.0,3.22,7.0,1.4,0.82,24.0,0.32,0
202,9.5,0.075,0.11,0.99545,6.8,16.0,3.36,5.0,1.5,0.79,49.0,0.5,0
203,9.2,0.088,0.35,0.9961,7.0,16.0,3.34,5.0,1.6,0.55,39.0,0.42,0
204,9.2,0.089,0.36,0.99615,7.0,14.0,3.34,6.0,1.6,0.56,37.0,0.43,0
207,9.3,0.069,0.31,0.99625,7.8,26.0,3.29,5.0,1.8,0.53,120.0,0.57,0
208,9.4,0.1,0.28,0.9966,7.8,18.0,3.22,5.0,2.7,0.67,95.0,0.44,0
213,10.1,0.06,0.26,0.9959,8.2,28.0,3.3,5.0,2.2,0.43,65.0,0.57,0
215,10.5,0.06,0.49,0.9974,7.0,26.0,3.34,5.0,5.6,0.76,121.0,0.49,0
216,11.0,0.101,0.16,0.9962,8.7,13.0,3.14,5.0,2.0,0.57,49.0,0.625,0
218,9.7,0.076,0.19,0.9957,7.5,10.0,3.39,5.0,1.9,0.54,44.0,0.49,0
219,9.5,0.08,0.33,0.99655,7.8,24.0,3.3,5.0,2.4,0.6,144.0,0.53,0
220,9.4,0.082,0.37,0.9964,7.8,24.0,3.34,6.0,2.0,0.59,58.0,0.34,0
221,9.4,0.101,0.26,0.9957,7.4,16.0,3.15,5.0,2.0,0.57,72.0,0.53,0
222,9.5,0.057,0.04,0.99525,6.8,5.0,3.42,5.0,1.5,0.6,10.0,0.61,0
223,10.0,0.083,0.25,0.99815,8.6,8.0,3.28,6.0,2.0,0.6,28.0,0.645,0
224,10.4,0.089,0.36,0.99745,8.4,15.0,3.31,4.0,2.0,0.57,55.0,0.635,0
225,10.5,0.073,0.25,0.99615,7.7,29.0,3.37,6.0,2.6,0.58,63.0,0.43,0
228,10.5,0.073,0.25,0.99615,7.7,29.0,3.37,6.0,2.6,0.58,63.0,0.43,0
229,11.0,0.081,0.25,0.99685,6.9,10.0,3.46,5.0,2.6,0.5,37.0,0.52,0
230,12.2,0.054,0.04,0.9927,5.2,19.0,3.54,7.0,1.6,0.62,106.0,0.48,0
231,9.9,0.078,0.06,0.99625,8.0,12.0,3.37,6.0,1.8,0.52,49.0,0.38,0
232,9.6,0.09,0.2,0.998,8.5,18.0,3.34,6.0,2.8,0.7,58.0,0.37,0
233,11.0,0.081,0.25,0.99685,6.9,10.0,3.46,5.0,2.6,0.5,37.0,0.52,0
242,9.8,0.102,0.1,0.99565,7.7,28.0,3.08,6.0,1.8,0.49,109.0,0.58,0
247,9.3,0.072,0.17,0.9963,8.2,11.0,3.2,5.0,2.3,0.45,73.0,0.6,0
248,9.8,0.074,0.06,0.99615,7.7,9.0,3.35,6.0,1.7,0.48,39.0,0.53,0
255,9.3,0.073,0.23,0.99675,8.0,17.0,3.26,5.0,3.2,0.57,119.0,0.57,0
256,9.2,0.075,0.37,0.998,9.4,5.0,3.22,5.0,2.2,0.62,13.0,0.34,0
260,9.3,0.077,0.23,0.99625,7.9,18.0,3.29,5.0,1.7,0.65,45.0,0.33,0
263,9.3,0.077,0.23,0.9963,7.9,23.0,3.28,5.0,1.8,0.67,49.0,0.37,0
270,10.7,0.087,0.06,0.9965,7.9,27.0,3.36,6.0,4.0,0.67,61.0,0.545,0
274,9.4,0.088,0.18,0.99915,7.5,27.0,3.38,5.0,7.0,0.77,94.0,0.65,0
275,10.7,0.087,0.06,0.9965,7.9,27.0,3.36,6.0,4.0,0.67,61.0,0.545,0
279,10.5,0.087,0.32,0.9991,8.9,10.0,3.38,7.0,5.6,0.77,47.0,0.4,0
282,9.1,0.067,0.12,0.9971,7.6,12.0,3.36,5.0,3.0,0.57,53.0,0.52,0
283,10.5,0.087,0.32,0.9991,8.9,10.0,3.38,7.0,5.6,0.77,47.0,0.4,0
287,10.3,0.092,0.12,0.9967,7.5,29.0,3.37,6.0,3.0,0.7,53.0,0.4,0
293,10.1,0.098,0.25,0.9964,6.9,5.0,3.41,6.0,2.4,0.6,16.0,0.36,0
300,10.7,0.086,0.06,0.9965,7.5,20.0,3.38,6.0,2.6,0.59,44.0,0.53,0
306,9.4,0.082,0.32,0.9966,7.6,7.0,3.36,5.0,2.2,0.52,54.0,0.62,0
309,9.5,0.062,0.38,0.9968,7.4,9.0,3.41,6.0,1.7,0.53,30.0,0.29,0
311,9.4,0.072,0.24,0.996,7.9,15.0,3.27,6.0,2.0,0.54,105.0,0.53,0
312,9.5,0.093,0.31,0.99815,9.0,19.0,3.32,6.0,2.8,0.63,98.0,0.46,0
313,9.4,0.076,0.3,0.9976,8.6,30.0,3.3,5.0,3.0,0.53,135.0,0.47,0
314,11.0,0.087,0.29,0.99645,7.4,26.0,3.39,5.0,2.6,0.68,72.0,0.36,0
315,11.0,0.096,0.29,0.9962,7.1,20.0,3.42,6.0,2.5,0.65,53.0,0.35,0
316,10.1,0.102,0.23,0.9996,9.6,37.0,3.3,5.0,3.4,0.65,92.0,0.56,0
321,9.7,0.09,0.26,0.99975,9.3,25.0,3.24,5.0,3.4,0.62,87.0,0.61,0
322,9.3,0.079,0.05,0.99735,7.8,6.0,3.29,5.0,2.3,0.63,18.0,0.62,0
332,9.4,0.066,0.28,0.9973,8.0,21.0,3.22,6.0,3.2,0.54,114.0,0.58,0
333,11.0,0.105,0.08,0.9958,8.4,16.0,3.13,5.0,2.1,0.52,44.0,0.56,0
336,12.5,0.052,0.45,0.9948,8.9,6.0,3.35,6.0,1.9,0.7,16.0,0.43,0
337,10.3,0.08,0.32,0.9974,7.8,29.0,3.31,5.0,2.8,0.64,58.0,0.43,0
354,11.9,0.066,0.4,0.9912,6.1,40.5,3.25,6.0,1.4,0.59,165.0,0.21,0
379,10.8,0.094,0.38,0.9979,8.3,24.0,3.31,6.0,2.5,0.7,60.0,0.42,0
380,9.4,0.08,0.42,0.9974,8.3,11.0,3.21,6.0,2.0,0.8,27.0,0.26,0
382,9.4,0.08,0.42,0.9974,8.3,11.0,3.21,6.0,2.0,0.8,27.0,0.26,0
383,9.4,0.08,0.42,0.9974,8.3,11.0,3.21,6.0,2.0,0.8,27.0,0.26,0
384,9.2,0.087,0.28,0.998,7.7,23.0,3.42,5.0,2.1,0.74,54.0,0.51,0
385,9.7,0.09,0.07,0.9979,7.4,11.0,3.43,6.0,2.4,0.76,37.0,0.63,0
386,9.2,0.088,0.26,0.9981,7.8,23.0,3.41,6.0,2.0,0.74,48.0,0.54,0
388,9.2,0.088,0.26,0.9981,7.8,23.0,3.43,6.0,1.9,0.74,53.0,0.46,0
389,10.0,0.096,0.31,0.9982,9.6,16.0,3.19,7.0,2.5,0.7,49.0,0.38,0
392,9.5,0.082,0.52,0.998,9.5,6.0,3.18,5.0,2.0,0.51,26.0,0.37,0
401,10.8,0.059,0.3,0.9949,7.7,20.0,3.29,6.0,1.7,0.47,38.0,0.26,0
405,10.1,0.059,0.46,0.9966,8.7,11.0,3.36,6.0,1.4,0.76,25.0,0.31,0
410,9.5,0.08,0.34,0.9987,9.0,26.0,3.38,6.0,2.5,0.62,86.0,0.43,0
411,9.5,0.08,0.35,0.9987,9.1,23.0,3.38,5.0,2.4,0.62,78.0,0.45,0
414,9.5,0.087,0.34,0.9982,8.8,24.0,3.26,5.0,2.7,0.61,122.0,0.52,0
417,10.5,0.091,0.12,0.9956,7.0,34.0,3.44,5.0,1.9,0.48,124.0,0.58,0
420,11.8,0.089,0.33,0.9972,9.5,35.0,3.28,7.0,2.4,0.73,67.0,0.56,0
428,9.3,0.07,0.33,0.9978,9.1,9.0,3.24,5.0,1.3,0.6,30.0,0.52,0
431,9.2,0.074,0.35,0.9974,7.8,21.0,3.25,5.0,2.2,0.56,66.0,0.55,0
439,9.3,0.062,0.18,0.9951,7.0,7.0,3.08,5.0,1.5,0.6,50.0,0.62,0
448,10.2,0.1,0.22,0.9967,8.6,7.0,3.2,6.0,2.0,0.56,27.0,0.53,0
454,11.1,0.063,0.4,0.9952,7.0,21.0,3.5,5.0,1.6,0.63,67.0,0.23,0
456,10.3,0.095,0.39,0.9986,8.9,5.0,3.37,5.0,2.3,0.58,22.0,0.59,0
457,9.6,0.097,0.21,0.9988,9.2,29.0,3.28,5.0,2.7,0.58,65.0,0.63,0
460,11.3,0.083,0.52,0.9976,9.2,14.0,3.35,6.0,2.3,0.61,23.0,0.43,0
461,9.3,0.087,0.22,0.9982,8.3,6.0,3.26,5.0,2.6,0.61,19.0,0.615,0
467,14.0,0.065,0.45,0.9947,8.8,7.0,3.32,6.0,2.6,0.79,18.0,0.46,0
471,11.4,0.081,0.42,0.997,9.6,25.0,3.2,6.0,2.4,0.71,52.0,0.54,0
476,9.7,0.091,0.41,0.998,9.3,6.0,3.28,5.0,2.0,0.7,16.0,0.27,0
489,10.2,0.073,0.4,0.9984,9.3,10.0,3.34,6.0,2.6,0.75,26.0,0.39,0
491,13.3,0.055,0.5,0.9952,9.2,12.0,3.34,7.0,2.5,0.79,25.0,0.41,0
494,12.1,0.051,0.23,0.9952,6.5,28.0,3.44,6.0,8.3,0.55,91.0,0.39,0
496,9.0,0.081,0.25,0.9984,7.8,14.0,3.43,6.0,1.9,0.65,38.0,0.52,0
497,11.1,0.09,0.32,0.9966,7.2,43.0,3.32,5.0,2.5,0.79,113.0,0.34,0
500,9.0,0.081,0.25,0.9984,7.8,14.0,3.43,6.0,1.9,0.65,38.0,0.52,0
519,11.0,0.088,0.49,0.9966,7.3,39.0,3.36,5.0,2.5,0.78,106.0,0.365,0
521,9.1,0.088,0.49,0.998,7.6,16.0,3.48,5.0,2.0,0.64,43.0,0.41,0
523,9.4,0.085,0.49,0.9978,9.3,38.0,3.22,5.0,2.5,0.55,142.0,0.4,0
524,9.5,0.086,0.49,0.9976,9.2,23.0,3.23,5.0,2.4,0.64,116.0,0.43,0
526,11.0,0.088,0.49,0.9966,7.3,39.0,3.36,5.0,2.5,0.78,106.0,0.365,0
527,11.4,0.097,0.49,0.9962,7.0,33.0,3.39,6.0,2.5,0.77,85.0,0.38,0
528,8.7,0.084,0.49,0.9988,8.2,32.0,3.34,6.0,2.6,0.75,55.0,0.42,0
540,9.6,0.101,0.24,0.9988,9.2,20.0,3.26,5.0,3.3,0.67,47.0,0.59,0
541,11.0,0.064,0.49,0.9988,9.5,5.0,3.21,6.0,6.3,0.73,17.0,0.46,0
545,9.1,0.094,0.49,0.9982,9.1,38.0,3.08,5.0,2.6,0.59,106.0,0.47,0
546,9.5,0.078,0.24,0.9983,7.5,10.0,3.45,6.0,2.0,0.78,28.0,0.55,0
551,10.0,0.092,0.24,0.998,9.4,14.0,3.19,6.0,2.8,0.73,45.0,0.43,0
552,10.0,0.092,0.24,0.998,9.5,14.0,3.12,6.0,2.7,0.74,44.0,0.46,0
561,9.2,0.078,0.49,0.9978,9.0,26.0,3.23,5.0,2.4,0.58,121.0,0.44,0
562,9.2,0.094,0.49,0.9982,9.0,41.0,3.08,5.0,2.9,0.61,110.0,0.54,0
563,10.1,0.092,0.49,0.9971,7.6,25.0,3.31,6.0,2.7,0.61,60.0,0.29,0
569,11.7,0.095,0.24,0.9946,6.2,19.0,3.57,6.0,2.2,0.57,42.0,0.36,0
571,11.7,0.095,0.24,0.9946,6.2,19.0,3.57,6.0,2.2,0.57,42.0,0.36,0
577,9.5,0.083,0.49,0.9982,8.8,18.0,3.3,5.0,2.8,0.6,111.0,0.44,0
578,9.8,0.085,0.49,0.9982,8.8,17.0,3.29,5.0,2.9,0.6,110.0,0.47,0
585,9.6,0.091,0.24,0.998,7.6,8.0,3.47,6.0,2.4,0.66,38.0,0.51,0
590,9.7,0.084,0.49,0.9987,9.0,21.0,3.35,5.0,2.6,0.57,75.0,0.45,0
591,11.5,0.07,0.49,0.9922,6.6,23.0,3.12,6.0,1.7,0.5,149.0,0.39,0
592,9.7,0.084,0.49,0.9987,9.0,21.0,3.35,5.0,2.6,0.57,75.0,0.45,0
595,9.3,0.086,0.41,0.9998,8.9,30.0,3.27,5.0,7.9,0.57,109.0,0.595,0
598,9.8,0.078,0.18,0.9967,8.5,5.0,3.2,6.0,2.1,0.48,30.0,0.585,0
604,9.1,0.096,0.13,0.9984,8.3,14.0,3.17,6.0,2.9,0.62,63.0,0.58,0
605,9.2,0.085,0.13,0.9984,8.3,6.0,3.31,6.0,2.6,0.59,24.0,0.6,0
606,12.2,0.072,0.48,0.9973,9.4,10.0,3.34,7.0,4.6,0.79,20.0,0.41,0
607,10.5,0.092,0.41,0.9982,8.8,26.0,3.31,6.0,3.3,0.53,52.0,0.48,0
609,12.7,0.075,0.19,0.9956,6.3,15.0,3.56,6.0,3.2,0.52,39.0,0.36,0
610,9.2,0.083,0.54,0.9983,8.8,25.0,3.39,5.0,2.5,0.54,57.0,0.24,0
613,9.8,0.058,0.38,0.9962,8.2,10.0,3.26,5.0,1.5,0.74,29.0,0.39,0
615,9.7,0.079,0.5,0.9997,9.6,28.0,3.5,5.0,2.3,0.57,71.0,0.6,0
616,9.7,0.079,0.5,0.9997,9.6,28.0,3.5,5.0,2.3,0.57,71.0,0.6,0
620,9.4,0.076,0.24,0.9976,8.3,16.0,3.27,5.0,3.4,0.61,112.0,0.54,0
621,9.4,0.078,0.23,0.9976,8.2,14.0,3.28,5.0,3.4,0.62,104.0,0.56,0
626,9.1,0.098,0.29,0.9988,8.8,5.0,3.36,5.0,2.2,0.49,15.0,0.6,0
627,9.1,0.098,0.29,0.9988,8.8,5.0,3.36,5.0,2.2,0.49,15.0,0.6,0
628,9.3,0.097,0.26,0.9976,8.7,7.0,3.27,6.0,2.5,0.6,31.0,0.54,0
630,9.3,0.097,0.26,0.9976,8.7,7.0,3.27,6.0,2.5,0.6,31.0,0.54,0
632,10.5,0.087,0.14,0.9964,7.6,21.0,3.32,6.0,3.0,0.57,43.0,0.41,0
634,9.5,0.073,0.21,0.9964,7.9,46.0,3.27,5.0,1.9,0.58,102.0,0.35,0
641,9.5,0.071,0.44,0.9992,9.5,21.0,3.46,5.0,2.3,0.63,68.0,0.59,0
643,9.5,0.071,0.44,0.9992,9.5,21.0,3.46,5.0,2.3,0.63,68.0,0.59,0
648,11.2,0.066,0.3,0.9964,8.7,10.0,3.33,7.0,2.8,0.67,28.0,0.48,0
649,11.3,0.068,0.27,0.9948,6.7,24.0,3.16,6.0,8.6,0.57,148.0,0.42,0
653,12.0,0.079,0.59,0.9976,9.4,9.0,3.12,6.0,2.8,0.54,30.0,0.33,0
654,9.5,0.074,0.47,0.9979,8.6,7.0,3.08,5.0,2.4,0.46,29.0,0.47,0
658,9.6,0.074,0.07,0.9973,7.2,5.0,3.32,6.0,1.4,0.81,20.0,0.52,0
660,9.6,0.074,0.07,0.9973,7.2,5.0,3.32,6.0,1.4,0.81,20.0,0.52,0
661,9.0,0.08,0.31,0.9978,7.5,15.0,3.31,5.0,1.6,0.64,42.0,0.42,0
662,9.6,0.076,0.06,0.9972,7.2,9.0,3.36,6.0,1.6,0.7,27.0,0.57,0
665,9.7,0.084,0.14,0.9981,9.4,25.0,3.14,5.0,2.0,0.56,48.0,0.59,0
670,10.0,0.083,0.24,0.9959,6.9,30.0,3.26,5.0,2.5,0.58,45.0,0.4,0
675,10.2,0.064,0.39,0.9984,9.3,12.0,3.26,5.0,2.2,0.65,31.0,0.41,0
681,10.2,0.094,0.23,0.9962,8.0,16.0,3.21,6.0,2.2,0.49,29.0,0.45,0
682,9.8,0.078,0.31,0.998,8.5,32.0,3.33,5.0,2.25,0.54,58.0,0.46,0
686,9.1,0.07,0.18,0.997,7.1,13.0,3.44,5.0,1.8,0.6,40.0,0.65,0
687,9.7,0.095,0.23,0.9998,9.1,13.0,3.28,5.0,3.1,0.59,38.0,0.64,0
693,9.4,0.084,0.32,0.9984,9.0,21.0,3.32,5.0,2.8,0.62,122.0,0.48,0
694,9.4,0.084,0.31,0.9984,9.0,24.0,3.31,5.0,2.7,0.61,125.0,0.47,0
698,9.7,0.087,0.28,1.0001,9.4,18.0,3.31,5.0,3.2,0.53,72.0,0.615,0
703,9.6,0.073,0.48,0.9972,7.5,22.0,3.32,4.0,2.6,0.7,84.0,0.38,0
707,10.5,0.077,0.19,0.9966,7.4,16.0,3.37,5.0,3.0,0.51,37.0,0.49,0
708,11.6,0.068,0.12,0.996,7.8,11.0,3.34,6.0,2.5,0.61,35.0,0.545,0
711,9.5,0.093,0.34,0.9998,8.9,16.0,3.38,5.0,3.0,0.61,112.0,0.565,0
713,9.4,0.075,0.36,0.9976,8.0,10.0,3.34,5.0,2.3,0.46,48.0,0.43,0
715,9.2,0.069,0.18,0.9967,7.2,13.0,3.29,6.0,2.7,0.48,34.0,0.49,0
716,9.4,0.075,0.36,0.9976,8.0,10.0,3.34,5.0,2.3,0.46,48.0,0.43,0
717,10.0,0.079,0.11,0.9968,7.6,12.0,3.21,5.0,2.6,0.57,49.0,0.46,0
718,9.6,0.082,0.04,0.9976,8.4,10.0,3.22,5.0,2.0,0.44,22.0,0.56,0
720,9.6,0.082,0.04,0.9976,8.4,10.0,3.22,5.0,2.0,0.44,22.0,0.56,0
721,9.2,0.094,0.24,0.9982,8.9,35.0,3.1,5.0,2.85,0.53,106.0,0.48,0
